номер_заказ;артикул;количество
101;YRN-001;3
101;FAB-105;5
102;BEAD-22;10
102;TOOL-05;1
103;YRN-003;5
103;GLUE-01;2
104;FAB-105;2
104;YRN-001;2
105;KNIT-09;1
105;SCIS-02;1
106;YRN-001;3
106;FAB-105;5
107;BEAD-22;1
107;TOOL-05;1
108;YRN-003;5
108;GLUE-01;2
109;FAB-105;2
109;YRN-001;2
110;KNIT-09;1
110;SCIS-02;1
111;YRN-005;4
111;NEEDLE-11;10
112;PAINT-04;2
112;BRUSH-08;5
113;YRN-001;1
113;TOOL-05;2
114;FAB-110;3
114;YRN-003;3
115;BEAD-22;5
115;GLUE-01;1
116;YRN-005;4
116;NEEDLE-11;10
117;PAINT-04;2
117;BRUSH-08;5
118;YRN-001;1
118;TOOL-05;2
119;FAB-110;3
119;YRN-003;3
120;BEAD-22;5
120;GLUE-01;1
121;YRN-001;5
121;FAB-105;10
122;TOOL-05;3
122;SCIS-02;2
123;KNIT-09;2
123;YRN-005;4
124;PAINT-04;1
124;CANVAS-01;1
125;YRN-003;6
125;NEEDLE-11;20
