номер_заказ;дата_заказ;дата_доставки;Код получения;id_пункт;id_пользователь;id_статус
101;10.01.2025;15.01.2025;1001;1;1;1
102;11.01.2025;16.01.2025;1002;5;2;1
103;12.01.2025;17.01.2025;1003;3;3;1
104;13.01.2025;18.01.2025;1004;8;4;1
105;14.01.2025;19.01.2025;1005;2;5;1
106;15.01.2025;20.01.2025;1006;1;1;2
107;16.01.2025;21.01.2025;1007;12;2;2
108;17.01.2025;22.01.2025;1008;4;3;2
109;18.01.2025;23.01.2025;1009;9;4;3
110;19.01.2025;24.01.2025;1010;15;5;3
111;20.01.2025;25.01.2025;1011;6;6;4
112;21.01.2025;26.01.2025;1012;10;7;4
113;22.01.2025;27.01.2025;1013;7;8;4
114;23.01.2025;28.01.2025;1014;14;9;4
115;24.01.2025;29.01.2025;1015;11;10;4
116;25.01.2025;30.01.2025;1016;6;6;5
117;26.01.2025;31.01.2025;1017;10;7;5
118;27.01.2025;01.02.2025;1018;7;8;1
119;28.01.2025;02.02.2025;1019;14;9;1
120;29.01.2025;03.02.2025;1020;11;10;1
121;30.01.2025;04.02.2025;1021;1;1;2
122;31.01.2025;05.02.2025;1022;18;2;2
123;01.02.2025;06.02.2025;1023;20;3;3
124;02.02.2025;07.02.2025;1024;25;4;3
125;03.02.2025;08.02.2025;1025;30;5;4
