Идентификатор товара;Размер;Количество доступное для заказа
1;20;20
1;21;20
1;22;20
1;23;20
1;24;20
1;25;20
2;33;2
2;34;2
3;19;30
3;20;30
4;19;15
4;20;15
5;21;5
5;22;5
5;23;5
6;18;4
6;19;4
6;20;4
7;21;4
7;22;4
7;23;4
7;24;4
8;27;7
8;28;7
8;29;7
8;30;7
9;18;7
9;19;7
9;20;7
10;36;12
10;37;12
11;39;2
11;40;2
12;37;5
12;39;5
12;40;5
13;36;10
13;37;10
13;38;10
13;39;10
13;40;10
14;35;3
15;37;23
15;39;23
15;40;23
16;36;25
16;37;25
16;38;25
17;36;4
17;38;4
17;39;4
17;40;4
18;35;9
18;38;9
19;35;2
19;36;2
20;37;5
20;37.5;5
20;38;5
20;38.5;5
21;35;16
21;36;16
21;38;16
21;39;16
22;35;3
22;38;3
23;41.5;18
23;42;18
23;42.5;18
23;43;18
24;38;50
24;38.5;50
24;39;50
24;39.5;50
24;40;50
24;41;50
25;41;3
25;42;3
25;44;3
26;40;23
26;41;23
26;43;23
27;42;15
27;43;15
27;44;15
28;44;3
29;41;1
29;42;1
30;42;20
30;43;20
31;41;30
31;42;30
