id_пункт;Индекс;Адресс
1;101000;г. Москва, ул. Тверская, 1
2;191000;г. Санкт-Петербург, Невский пр., 10
3;620000;г. Екатеринбург, ул. Ленина, 5
4;420000;г. Казань, ул. Баумана, 15
5;540000;г. Новосибирск, Красный пр., 20
6;101001;г. Москва, ул. Арбат, 5
7;191001;г. Санкт-Петербург, ул. Садовая, 12
8;620001;г. Екатеринбург, пр. Мира, 8
9;420001;г. Казань, пр. Победы, 30
10;540001;г. Новосибирск, ул. Ленина, 1
11;101002;г. Москва, Кутузовский пр., 10
12;191002;г. Санкт-Петербург, Лиговский пр., 50
13;620002;г. Екатеринбург, ул. Малышева, 15
14;420002;г. Казань, ул. Декабристов, 1
15;540002;г. Новосибирск, ул. Ленина, 10
16;101003;г. Москва, ул. Пятницкая, 20
17;191003;г. Санкт-Петербург, ул. Рубинштейна, 5
18;620003;г. Екатеринбург, ул. 8 Марта, 50
19;420003;г. Казань, ул. Чистопольская, 10
20;540003;г. Новосибирск, ул. Гоголя, 15
21;101004;г. Москва, ул. Гиляровского, 10
22;191004;г. Санкт-Петербург, ул. 8-я Советская, 10
23;620004;г. Екатеринбург, ул. Вайнера, 10
24;420004;г. Казань, ул. Пушкина, 10
25;540004;г. Новосибирск, ул. Ленина, 20
26;101005;г. Москва, ул. Сретенка, 1
27;191005;г. Санкт-Петербург, ул. Маяковского, 10
28;620005;г. Екатеринбург, ул. Розы Люксембург, 10
29;420005;г. Казань, ул. Островского, 10
30;540005;г. Новосибирск, ул. Ленина, 30
