артикул;наименование;цена;скидка_проценты;описание;id_единица_изм;id_поставщик;id_категория
YRN-001;"Пряжа ""Шерстяная""";450;3;100% шерсть, 100м;1;1;1
YRN-003;"Пряжа ""Хлопок""";380;3;Мерсеризованный хлопок;1;2;1
YRN-005;"Пряжа ""Акрил""";290;3;Гипоаллергенная;1;1;1
YRN-007;"Пряжа ""Лен""";550;5;Натуральный лен;1;3;1
YRN-009;"Пряжа ""Мохер""";600;2;Пушистая пряжа;1;2;1
FAB-105;"Ткань ""Хлопок""";320;2;Бязь набивная;2;2;2
FAB-110;"Ткань ""Лен""";550;2;Плательный лен;2;3;2
FAB-115;"Ткань ""Шелк""";1200;0;Натуральный шелк;2;4;2
FAB-120;"Ткань ""Бархат""";890;5;Декоративный бархат;2;4;2
FAB-125;"Ткань ""Флис""";450;10;Для игрушек;2;1;2
BEAD-22;Бисер №10;150;5;Чешский бисер;3;5;3
BEAD-24;Бисер №8;160;5;Крупный бисер;3;5;3
BEAD-26;Пайетки;120;10;Разноцветные;3;5;3
BEAD-28;Стразы;200;0;Клеевые стразы;3;5;3
TOOL-05;Спицы бамбук;890;0;5 шт в наборе;4;1;4
TOOL-07;Крючки сталь;750;0;10 размеров;4;1;4
SCIS-02;Ножницы;650;0;Портновские;5;6;4
SCIS-04;Ножницы зигзаг;800;5;Для ткани;5;6;4
NEEDLE-11;Иглы швейные;50;10;Набор 30 шт;3;6;4
NEEDLE-13;Иглы вышивальные;70;10;Тупое острие;3;6;4
GLUE-01;Клей текстильный;120;10;Для ткани;5;7;5
GLUE-03;Клей универсальный;90;15;Момент-Кристалл;5;7;5
GLUE-05;Клей ПВА;60;20;Для бумаги;5;7;5
KNIT-09;"Набор ""Шарф""";1200;5;Пряжа + схема;4;1;6
KNIT-11;"Набор ""Игрушка""";1500;5;Для вязания;4;1;6
KNIT-13;"Набор ""Салфетка""";900;0;Кружево;4;2;6
PAINT-04;Краска акрил;150;5;6 цветов;7;8;7
PAINT-06;Краска масло;250;0;Профессиональная;7;8;7
PAINT-08;Краска гуашь;300;10;12 цветов;4;8;7
BRUSH-08;Кисти синтетика;200;5;5 шт;4;8;7
BRUSH-10;Кисти натуральные;450;0;Белка;4;8;7
CANVAS-01;Холст на подрамнике;500;0;30х40 см;5;8;7
CANVAS-03;Холст рулонный;350;5;Ширина 1м;2;8;7
CLAY-01;Глина полимерная;180;0;Запекаемая;3;9;8
CLAY-03;Глина самозатверд.;220;5;Белая;3;9;8
CLAY-05;Стеки набор;150;10;Инструменты;4;9;8
PAPER-01;Бумага для скрапбукинга;50;15;30х30 см;6;10;9
PAPER-03;Картон дизайнерский;80;10;Плотный;6;10;9
RIBBON-01;Лента атласная;30;20;Ширина 2см;2;2;10
RIBBON-03;Лента кружевная;50;10;Ширина 3см;2;2;10
